RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
1163,20150116,Kvinde,55,50-59 år,Syddanmark,ældreplejen,Ved ikke,Venstre ledet regering,Venstre ledet regering,Vil ikke svare,Vil ikke svare,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,,0.8679267095
1167,20150116,Mand,70,70 år ++,Syddanmark,"ødelæggelsen af velfærdssamfundet økonomisk og menneskeligt på grund af politikernes prioriteringer (besparelser er blevet et ""must"" i deres argumenter)",Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Enhedslisten,1.0162638985
1172,20150117,Kvinde,74,70 år ++,Midtjylland,Økonomi,Ved ikke,Venstre ledet regering,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Anden uddannelse,Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.6323847632
1173,20150118,Kvinde,71,70 år ++,Syddanmark,mangel på arbejdspladser - med ordnede forhold,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,100.000-199.999 kr.,Socialdemokraterne,1.6486883069
1179,20150116,Mand,44,40-49 år,Midtjylland,?,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,(Ø) Enhedslisten,,Kort videregående 1-2 år,Ingen,Vil ikke oplyse,Enhedslisten,0.5126640930
1181,20150116,Kvinde,52,50-59 år,Syddanmark,økonomi at få flere i arbejde,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Kort videregående 1-2 år,Ingen,700.000-799.999 kr.,Dansk Folkeparti,0.3351068263
1183,20150118,Kvinde,47,40-49 år,Midtjylland,.,Ved ikke,Venstre ledet regering,Ved ikke,Stemte blankt,Ved ikke,(B) Radikale Venstre,Kort videregående 1-2 år,1 barn,300.000-399.999 kr.,Radikale Venstre,1.3152472623
1186,20150116,Mand,48,40-49 år,Nordjylland,Overflod af indvandere/flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,600.000-699.999 kr.,Dansk Folkeparti,1.2846124692
1196,20150116,Kvinde,75,70 år ++,Syddanmark,Indvandrerproblematikken,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Konservative Folkeparti,1.0591849545
1198,20150116,Kvinde,84,70 år ++,Hovedstaden,terrortrusler,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(K) Kristendemokraterne,(O) Dansk Folkeparti,,"Gymnasie, HF eller lignende",Ingen,Vil ikke oplyse,Dansk Folkeparti,0.6917965324
1200,20150116,Kvinde,67,60-69 år,Midtjylland,ineffektivitet på sygehuse,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Lang videregående 5 år,Ingen,300.000-399.999 kr.,Socialdemokraterne,0.3351068263
1202,20150116,Kvinde,74,70 år ++,Midtjylland,Det kommende valg,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,Ingen,100.000-199.999 kr.,Venstre,0.4212018638
1203,20150116,Mand,69,60-69 år,Midtjylland,Landets økonomiske situation fremadrettet,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,Vil ikke svare,Ved ikke,Vil ikke svare,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,,0.4680941291
1204,20150116,Mand,59,50-59 år,Hovedstaden,??,Ved ikke,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Lang videregående 5 år,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.3351068263
1208,20150116,Kvinde,69,60-69 år,Syddanmark,Arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Venstre,0.7809718684
1213,20150116,Kvinde,50,50-59 år,Midtjylland,indvandrerne,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,Ved ikke,Dansk Folkeparti,0.3351068263
1215,20150116,Mand,48,40-49 år,Syddanmark,beskæftigelsen,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,Ved ikke,(V) Venstre,"Gymnasie, HF eller lignende",Ingen,600.000-699.999 kr.,Venstre,1.3578193193
1219,20150116,Mand,33,30-39 år,Midtjylland,Arbejdspladser,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,Ved ikke,(V) Venstre,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Venstre,2.4787295076
1234,20150117,Kvinde,65,60-69 år,Hovedstaden,Terror,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Ved ikke,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Socialdemokraterne,0.8809451074
1235,20150116,Kvinde,68,60-69 år,Hovedstaden,flygtninge,Venstre ledet regering,Ved ikke,Ved ikke,(I) Liberal Alliance,(O) Dansk Folkeparti,,Grundskole,Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.6639791520
1237,20150116,Kvinde,64,60-69 år,Syddanmark,Ældre og børne område,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,Venstre,0.3351068263
1239,20150116,Kvinde,31,30-39 år,Hovedstaden,skattetryk,Venstre ledet regering,Ved ikke,Socialdemokratisk ledet regering,Stemte ikke,(I) Liberal Alliance,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Liberal Alliance (tidligere Ny Alliance),1.7244927355
1241,20150118,Kvinde,68,60-69 år,Hovedstaden,terror,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Socialdemokraterne,0.3674431386
1246,20150116,Kvinde,34,30-39 år,Syddanmark,terrortrusler,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,700.000-799.999 kr.,Dansk Folkeparti,1.9185121636
1250,20150116,Mand,69,60-69 år,Hovedstaden,arbejdsløsheden flygtninge,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Venstre,0.7444858658
1256,20150117,Mand,62,60-69 år,Sjælland,unges uddannelsesmuligheder,Socialdemokratisk ledet regering,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(A) Socialdemokraterne,,Kort videregående 1-2 år,Ingen,600.000-699.999 kr.,Socialdemokraterne,0.3351068263
1262,20150116,Kvinde,54,50-59 år,Nordjylland,Den evige flygtningestrøm,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Venstre,1.5399254522
1263,20150116,Kvinde,50,50-59 år,Hovedstaden,Ældre plejen,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,1.0864552915
1270,20150116,Kvinde,44,40-49 år,Syddanmark,?,Ved ikke,Ved ikke,Ved ikke,(F) Socialistisk Folkeparti - SF,Ved ikke,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,200.000-299.999 kr.,,1.9384734974
1272,20150116,Mand,48,40-49 år,Sjælland,øget flygtninge tilstrømning,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,1 barn,400.000-499.999 kr.,Enhedslisten,0.7461429146
1276,20150117,Kvinde,70,70 år ++,Syddanmark,Terrotrusling og finanskrisen samt mangelen på arbejdspladser,Ved ikke,Venstre ledet regering,Venstre ledet regering,Vil ikke svare,Vil ikke svare,,Mellemlang videregående 3-4 år,Ingen,100.000-199.999 kr.,,0.3984399439
1277,20150119,Mand,71,70 år ++,Hovedstaden,Få styr på økonomien,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Venstre,1.3407638888
1278,20150116,Mand,29,18-29 år,Hovedstaden,At helle er statsminister,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(A) Socialdemokraterne,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,1.000.000 kr. eller derover,Venstre,1.3310060825
1279,20150116,Mand,68,60-69 år,Syddanmark,beskæftigelsen,Ved ikke,Socialdemokratisk ledet regering,Venstre ledet regering,(B) Radikale Venstre,(I) Liberal Alliance,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Liberal Alliance (tidligere Ny Alliance),0.6304206002
1280,20150116,Mand,54,50-59 år,Syddanmark,dansk folkeparti,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(F) Socialistisk Folkeparti - SF,,Grundskole,Ingen,600.000-699.999 kr.,Socialistisk Folkeparti - SF,1.5123965436
1281,20150116,Kvinde,54,50-59 år,Hovedstaden,Terror risiko,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,Ved ikke,Ved ikke,Grundskole,Ingen,600.000-699.999 kr.,,1.5678368916
1282,20150116,Kvinde,60,60-69 år,Hovedstaden,Terrortrussel,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Enhedslisten,0.3562740838
1284,20150116,Kvinde,27,18-29 år,Syddanmark,Ungdomsarbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,Ved ikke,(F) Socialistisk Folkeparti - SF,Lang videregående 5 år,Ingen,100.000-199.999 kr.,Socialistisk Folkeparti - SF,1.5316328845
1286,20150116,Kvinde,64,60-69 år,Hovedstaden,arbejdsløsheden,Ved ikke,Venstre ledet regering,Ved ikke,(Ø) Enhedslisten,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Dansk Folkeparti,0.5319042470
1296,20150117,Mand,68,60-69 år,Sjælland,terror,Ved ikke,Ved ikke,Ved ikke,(V) Venstre,Ved ikke,(V) Venstre,Mellemlang videregående 3-4 år,Ingen,700.000-799.999 kr.,Venstre,0.3351068263
1298,20150119,Mand,67,60-69 år,Midtjylland,Lukning af arbejdspladser,Ved ikke,Venstre ledet regering,Ved ikke,Vil ikke svare,Vil ikke svare,,Grundskole,Ingen,200.000-299.999 kr.,,0.4850464518
1299,20150117,Kvinde,50,50-59 år,Midtjylland,Ved ikke,Ved ikke,Ved ikke,Ved ikke,Husker ikke,Ved ikke,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,600.000-699.999 kr.,,0.9651531708
1301,20150117,Mand,29,18-29 år,Midtjylland,Høje skatter,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(C) Konservative Folkeparti,,Mellemlang videregående 3-4 år,Ingen,Under 100.000 kr.,Konservative Folkeparti,0.7702591875
1302,20150116,Mand,55,50-59 år,Midtjylland,Ungdoms arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Gymnasie, HF eller lignende",1 barn,500.000-599.999 kr.,Socialdemokraterne,0.6348410110
1303,20150119,Mand,78,70 år ++,Syddanmark,Muhammed tegninger.,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Venstre,1.1161579682
1304,20150119,Kvinde,60,60-69 år,Sjælland,"terrortrusler, hvordan vi løser problemet",Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(C) Konservative Folkeparti,(A) Socialdemokraterne,,Grundskole,Ingen,500.000-599.999 kr.,Socialdemokraterne,0.9566418584
1305,20150116,Mand,47,40-49 år,Midtjylland,ved ikke,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,Vil ikke oplyse,Socialdemokraterne,1.6297558118
1309,20150116,Mand,71,70 år ++,Syddanmark,"At få gang i produktion i Danmark, lad ikke vores tekniske udviklede produkter fremstille i lavtlønslande. Hvis vi ikke selv producerer produkterne. vil der mangle videreudvikling i virksomhederne, Ved at flytte produktion ud af landet, får vi måske en økonomisk gevinst, men er det ikke som at tisse i bukserne, det varmer men kun i kort tid.",Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Socialdemokraterne,0.4371735879
1317,20150117,Kvinde,76,70 år ++,Midtjylland,arbejdsløshed,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(O) Dansk Folkeparti,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.9188962276
1319,20150116,Mand,33,30-39 år,Midtjylland,Beskæftigelse,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Kort videregående 1-2 år,Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.4559508311
1321,20150116,Mand,41,40-49 år,Syddanmark,At der ikke er kommet gang i væksten,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,500.000-599.999 kr.,Dansk Folkeparti,1.0660194258
1329,20150119,Mand,68,60-69 år,Syddanmark,Dagpenge+Beskæftelse,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Socialdemokraterne,0.5819912809
1330,20150116,Kvinde,27,18-29 år,Midtjylland,Indvandre,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,1 barn,Vil ikke oplyse,Venstre,1.2888463357
1331,20150116,Mand,61,60-69 år,Midtjylland,integration af indvandre,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(B) Radikale Venstre,(B) Radikale Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,700.000-799.999 kr.,Radikale Venstre,1.0605269601
1332,20150116,Kvinde,43,40-49 år,Syddanmark,Arbejdsløshed,Venstre ledet regering,Socialdemokratisk ledet regering,Ved ikke,(F) Socialistisk Folkeparti - SF,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Enhedslisten,2.1571442575
1334,20150116,Kvinde,70,70 år ++,Sjælland,Oversvømmelse,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Socialdemokraterne,1.3801438708
1337,20150117,Kvinde,68,60-69 år,Syddanmark,økonomien,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Venstre,0.3351068263
1339,20150116,Mand,67,60-69 år,Syddanmark,flytninger,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Socialdemokraterne,0.5819912809
1341,20150117,Kvinde,41,40-49 år,Syddanmark,arbejdsledighed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Husker ikke,Ved ikke,Ved ikke,Lang videregående 5 år,1 barn,Vil ikke oplyse,,0.7424023435
1348,20150119,Kvinde,69,60-69 år,Hovedstaden,økonomisk fremtid,Ved ikke,Ved ikke,Ved ikke,(F) Socialistisk Folkeparti - SF,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,600.000-699.999 kr.,Enhedslisten,0.3562740838
1350,20150116,Kvinde,22,18-29 år,Hovedstaden,udlændige,Ved ikke,Ved ikke,Ved ikke,(C) Konservative Folkeparti,Ved ikke,(C) Konservative Folkeparti,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Konservative Folkeparti,3.0282019702
1351,20150116,Kvinde,68,60-69 år,Midtjylland,Flygtninge og indvandrere,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Socialdemokraterne,0.6769619600
1358,20150116,Mand,31,30-39 år,Hovedstaden,Udlændinge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,1 barn,700.000-799.999 kr.,Dansk Folkeparti,0.7628288275
1359,20150117,Kvinde,70,70 år ++,Nordjylland,Terror truslen,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Lang videregående 5 år,Ingen,1.000.000 kr. eller derover,Venstre,0.6491091713
1360,20150117,Kvinde,27,18-29 år,Midtjylland,Manglen på jobs.,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,(Ø) Enhedslisten,,"Gymnasie, HF eller lignende",Ingen,200.000-299.999 kr.,Enhedslisten,2.0318370625
1363,20150116,Kvinde,55,50-59 år,Nordjylland,Arbejdsløshed,Ved ikke,Ved ikke,Ved ikke,Vil ikke svare,Vil ikke svare,,Grundskole,Ingen,Vil ikke oplyse,,1.3056010678
1364,20150116,Kvinde,37,30-39 år,Syddanmark,åbne grænser,Venstre ledet regering,Socialdemokratisk ledet regering,Venstre ledet regering,(Ø) Enhedslisten,Ved ikke,Ved ikke,Mellemlang videregående 3-4 år,1 barn,Ved ikke,,1.1547670778
1365,20150116,Mand,32,30-39 år,Hovedstaden,Miljø og klima-spørgsmål.,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Ved ikke,(B) Radikale Venstre,(A) Socialdemokraterne,,Kort videregående 1-2 år,1 barn,500.000-599.999 kr.,Socialdemokraterne,0.9826911834
1367,20150117,Mand,61,60-69 år,Nordjylland,Indvandring,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Dansk Folkeparti,0.4234566171
1369,20150117,Mand,54,50-59 år,Sjælland,Afdemokratisering,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,"Gymnasie, HF eller lignende",Ingen,200.000-299.999 kr.,Enhedslisten,0.6968242110
1370,20150116,Mand,59,50-59 år,Sjælland,terror,Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,600.000-699.999 kr.,Dansk Folkeparti,0.6008494488
1373,20150116,Kvinde,23,18-29 år,Midtjylland,"Sundhedsvæsnet, manglende ressourcer overfor befolkningens krav og forventninger",Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,Ved ikke,(V) Venstre,"Gymnasie, HF eller lignende",Ingen,Under 100.000 kr.,Venstre,2.2315574115
1377,20150116,Kvinde,58,50-59 år,Nordjylland,arbejdsløshed,Venstre ledet regering,Ved ikke,Venstre ledet regering,(V) Venstre,(C) Konservative Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Konservative Folkeparti,1.1596859893
1379,20150118,Kvinde,71,70 år ++,Midtjylland,flygtninge problemer,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,Ved ikke,(O) Dansk Folkeparti,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.3351068263
1383,20150116,Mand,43,40-49 år,Syddanmark,Vi skal ha gang i væksten,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,500.000-599.999 kr.,Venstre,1.8801546044
1388,20150116,Kvinde,52,50-59 år,Hovedstaden,?,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,1 barn,700.000-799.999 kr.,Socialdemokraterne,0.6012393640
1391,20150117,Mand,65,60-69 år,Nordjylland,arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Enhedslisten,0.3351068263
1392,20150116,Mand,72,70 år ++,Nordjylland,Landbruget,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.9519748604
1393,20150116,Mand,81,70 år ++,Hovedstaden,landbrugets økonomi,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,600.000-699.999 kr.,Venstre,1.3407638888
1411,20150119,Kvinde,71,70 år ++,Nordjylland,At få styr på flygtningestrømmen,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,700.000-799.999 kr.,Dansk Folkeparti,0.4008220764
